molecule_chembl_id,measurement_count,median_activity,mean_activity,std_activity,min_activity,max_activity,hit_strength,pass_activity,pass_std,pass_n
CHEMBL100672,1,7.301029995663981,7.301029995663981,,7.301029995663981,7.301029995663981,weak,True,False,True
CHEMBL100989,1,8.0,8.0,,8.0,8.0,weak,True,False,True
CHEMBL101030,1,7.136677139879544,7.136677139879544,,7.136677139879544,7.136677139879544,weak,True,False,True
CHEMBL101041,1,7.6777807052660805,7.6777807052660805,,7.6777807052660805,7.6777807052660805,weak,True,False,True
CHEMBL102081,1,7.036212172654444,7.036212172654444,,7.036212172654444,7.036212172654444,weak,True,False,True
CHEMBL108952,1,7.721246399047171,7.721246399047171,,7.721246399047171,7.721246399047171,weak,True,False,True
CHEMBL111195,1,7.795880017344075,7.795880017344075,,7.795880017344075,7.795880017344075,weak,True,False,True
CHEMBL115902,1,6.270025714300444,6.270025714300444,,6.270025714300444,6.270025714300444,weak,False,False,True
CHEMBL130569,1,6.040958607678906,6.040958607678906,,6.040958607678906,6.040958607678906,weak,False,False,True
CHEMBL133326,1,6.050609993355087,6.050609993355087,,6.050609993355087,6.050609993355087,weak,False,False,True
CHEMBL295886,1,7.301029995663981,7.301029995663981,,7.301029995663981,7.301029995663981,weak,True,False,True
CHEMBL297169,1,7.795880017344075,7.795880017344075,,7.795880017344075,7.795880017344075,weak,True,False,True
CHEMBL298122,1,6.008773924307505,6.008773924307505,,6.008773924307505,6.008773924307505,weak,False,False,True
CHEMBL3142628,1,7.443697499232712,7.443697499232712,,7.443697499232712,7.443697499232712,weak,True,False,True
CHEMBL3142655,1,7.301029995663981,7.301029995663981,,7.301029995663981,7.301029995663981,weak,True,False,True
CHEMBL3142667,1,6.886056647693163,6.886056647693163,,6.886056647693163,6.886056647693163,weak,False,False,True
CHEMBL3142676,1,6.346787486224656,6.346787486224656,,6.346787486224656,6.346787486224656,weak,False,False,True
CHEMBL3142678,1,6.508638306165727,6.508638306165727,,6.508638306165727,6.508638306165727,weak,False,False,True
CHEMBL3142679,1,6.795880017344075,6.795880017344075,,6.795880017344075,6.795880017344075,weak,False,False,True
CHEMBL3142680,1,7.4089353929735005,7.4089353929735005,,7.4089353929735005,7.4089353929735005,weak,True,False,True
CHEMBL3142700,1,8.0,8.0,,8.0,8.0,weak,True,False,True
CHEMBL3142739,1,6.585026652029182,6.585026652029182,,6.585026652029182,6.585026652029182,weak,False,False,True
CHEMBL3142745,1,7.42021640338319,7.42021640338319,,7.42021640338319,7.42021640338319,weak,True,False,True
CHEMBL3142750,1,7.920818753952375,7.920818753952375,,7.920818753952375,7.920818753952375,weak,True,False,True
CHEMBL3142752,1,7.0,7.0,,7.0,7.0,weak,True,False,True
CHEMBL3142785,1,6.221848749616356,6.221848749616356,,6.221848749616356,6.221848749616356,weak,False,False,True
CHEMBL318001,1,7.721246399047171,7.721246399047171,,7.721246399047171,7.721246399047171,weak,True,False,True
CHEMBL320351,1,6.508638306165727,6.508638306165727,,6.508638306165727,6.508638306165727,weak,False,False,True
CHEMBL320707,1,7.142667503568732,7.142667503568732,,7.142667503568732,7.142667503568732,weak,True,False,True
CHEMBL321268,1,8.080921907623926,8.080921907623926,,8.080921907623926,8.080921907623926,weak,True,False,True
CHEMBL322178,1,6.585026652029182,6.585026652029182,,6.585026652029182,6.585026652029182,weak,False,False,True
CHEMBL323543,1,6.886056647693163,6.886056647693163,,6.886056647693163,6.886056647693163,weak,False,False,True
CHEMBL327093,1,7.259637310505756,7.259637310505756,,7.259637310505756,7.259637310505756,weak,True,False,True
CHEMBL419202,1,7.721246399047171,7.721246399047171,,7.721246399047171,7.721246399047171,weak,True,False,True
CHEMBL431443,1,7.366531544420414,7.366531544420414,,7.366531544420414,7.366531544420414,weak,True,False,True
CHEMBL435448,1,6.027758663924915,6.027758663924915,,6.027758663924915,6.027758663924915,weak,False,False,True
CHEMBL44710,1,6.180456064458132,6.180456064458132,,6.180456064458132,6.180456064458132,weak,False,False,True
CHEMBL457155,1,8.397940008672037,8.397940008672037,,8.397940008672037,8.397940008672037,weak,True,False,True
CHEMBL46845,1,7.795880017344075,7.795880017344075,,7.795880017344075,7.795880017344075,weak,True,False,True
CHEMBL47102,1,6.886056647693163,6.886056647693163,,6.886056647693163,6.886056647693163,weak,False,False,True
CHEMBL49082,1,6.060480747381382,6.060480747381382,,6.060480747381382,6.060480747381382,weak,False,False,True
CHEMBL50117,1,6.050609993355087,6.050609993355087,,6.050609993355087,6.050609993355087,weak,False,False,True
CHEMBL99622,1,8.221848749616356,8.221848749616356,,8.221848749616356,8.221848749616356,weak,True,False,True
